question,references
How can Ukraine stop Putin according to President Biden?,"[{""content"": ""But Ukraine \u2014 Ukraine can stop Putin. Ukraine can stop Putin if we stand with Ukraine and provide the weapons that it needs to defend itself."", ""start_index"": 1234, ""end_index"": 1375}]"
"What action did President Biden promise to take if someone tries to cut Social Security or Medicare, or raise the retirement age?","[{""content"": ""If anyone here tries to cut Social Security or Medicare or raise the retirement age, I will stop you."", ""start_index"": 25760, ""end_index"": 25861}]"
"During which global event was President Biden born, and what did America stand for at that time?","[{""content"": ""I was born amid World War Two, when America stood for the freedom of the world."", ""start_index"": 45278, ""end_index"": 45357}]"
"How many more asylum officers does the new bill propose, and what impact will it have on the case resolution time?","[{""content"": ""s, 4,300 more asylum officers, and new policies so they can resolve cases in six months instead of six years now."", ""start_index"": 28619, ""end_index"": 28732}]"
How are the vaccines that were developed for COVID-19 now being utilized according to President Biden?,"[{""content"": ""The pandemic no longer controls our lives. The vaccine that saved us from COVID is \u2014 are now being used to beat cancer."", ""start_index"": 8497, ""end_index"": 8616}]"
What minimum tax rate does President Biden propose for big corporations?,"[{""content"": ""It\u2019s time to raise the corporate minimum tax to at least 21 percent so every big corporation finally begins to pay their fair share."", ""start_index"": 24145, ""end_index"": 24277}]"
How many new manufacturing jobs have been created in America recently?,"[{""content"": ""Eight hundred thousand new manufacturing jobs in America and counting."", ""start_index"": 9103, ""end_index"": 9173}]"
What will happen if the United States walks away according to President Biden's speech?,"[{""content"": ""If the United States walks away, it will put Ukraine at risk. Europe is at risk. The free world will be at risk, emboldening others to do what they wish to do us harm."", ""start_index"": 2743, ""end_index"": 2910}]"
What is the purpose of adding one hundred more high-tech drug detection machines according to President Biden's speech?,"[{""content"": ""One hundred more high-tech drug detection machines to significantly increase the ability to screen and stop vehicles smuggling fentanyl into America that\u2019s killing thousands of children."", ""start_index"": 28756, ""end_index"": 28942}]"
Who are the Americans mentioned as being unjustly detained by the Russians that President Biden vows to work around the clock to bring home?,"[{""content"": ""We also \u2014 we will also work around the clock to bring home Evan and Paul \u2014 Americans being unjustly detained by the Russians \u2014 and others around the world."", ""start_index"": 38840, ""end_index"": 38995}]"
What inspired President Biden to pursue a career in service?,"[{""content"": ""I watched in horror as two of my heroes \u2014 like many of you did \u2014 Dr. King and Bobby Kennedy, were assassinated. And their legacies inspired me to pur- \u2014 pursue a car- \u2014 a career in service."", ""start_index"": 45471, ""end_index"": 45660}]"
What specific event does President Biden mention that his predecessor and some attendees are trying to bury the truth about?,"[{""content"": ""My predecessor and some of you here seek to bury the truth about January 6th. I will not do that."", ""start_index"": 3786, ""end_index"": 3883}]"
What specific American values does President Biden emphasize in his speech?,"[{""content"": ""My lifetime has taught me to embrace freedom and democracy, a future based on core values that have defined America \u2014 honesty, decency, dignity, and equality; to respect everyone; to give everyone a fair shot; to give hate no safe harbor."", ""start_index"": 44917, ""end_index"": 45155}]"
What specific actions did President Biden request from Congress in relation to IVF treatments during his State of the Union Address?,"[{""content"": ""So, tonight, let\u2019s stand up for families like hers. To my friends across the aisle \u2014 don\u2019t keep this waiting any longer. Guarantee the right to IVF. Guarantee it nationwide."", ""start_index"": 5155, ""end_index"": 5328}]"
What significant actions has President Biden mentioned in his address regarding the auto industry and union jobs?,"[{""content"": ""I was elected to office, and we raised Belvidere repeatedly with auto companies, knowing unions would make all the difference. The UAW worked like hell to keep the plant open and get these jobs back. And together, we succeeded."", ""start_index"": 12440, ""end_index"": 12667}, {""content"": ""Instead of auto factories shutting down, auto factories are reopening and a new state-of-the-art battery factory is being built to power those cars there at the same."", ""start_index"": 12669, ""end_index"": 12835}, {""content"": ""Because instead of watching auto ja- \u2014 jobs of the future go overseas, 4,000 union jobs with higher wages are building a future in Belvidere right here in America."", ""start_index"": 12968, ""end_index"": 13131}]"
What are President Biden's views on the relationship between Wall Street and the role of unions in building America?,"[{""content"": ""Showing once again Wall Street didn\u2019t build America. They\u2019re not bad guys. They didn\u2019t build it, though. The middle class built the country, and unions built the middle class."", ""start_index"": 13525, ""end_index"": 13700}]"
What are the benefits mentioned by President Biden for providing access to preschool for three- and four-year-olds?,"[{""content"": ""To remain the strongest economy in the world, we need to have the best education system in the world. And I, like I suspect all of you, want to give a child \u2014 every child a good start by providing access to preschool for three- and four-years-old."", ""start_index"": 19026, ""end_index"": 19273}, {""content"": ""Well, studies show that children who go to preschool are nearly 50 percent more likely to finish high school and go on to earn a two- and four-year degree no matter what their background is."", ""start_index"": 19565, ""end_index"": 19755}]"
What economic impacts did President Biden mention as benefits of debt forgiveness?,"[{""content"": ""And, folks, look, such relief is good for the economy because folks are now able to buy a home, start a business, start a family."", ""start_index"": 21726, ""end_index"": 21855}]"
What are some of the key benefits and changes President Biden discussed regarding Medicare and prescription drug costs?,"[{""content"": ""ave Medicare the power to negotiate lower prices on prescription drugs, just like the VA is able to do for veterans."", ""start_index"": 15567, ""end_index"": 15683}, {""content"": ""We cut the federal deficit by $160 billion because Medicare will no longer have to pay those exorbitant prices to Big Pharma."", ""start_index"": 15752, ""end_index"": 15877}, {""content"": ""This year, Medicare is negotiating lower prices for some of the costliest drugs on the market that treat everything from heart disease to arthritis."", ""start_index"": 15879, ""end_index"": 16027}, {""content"": ""Starting next year, the same law caps total prescription drug costs for seniors on Medicare at $200 \u2014 at $2,000 a year, even for expensive cancer drugs that cost $10-, $12-, $15,000."", ""start_index"": 16312, ""end_index"": 16494}]"
What steps has President Biden proposed to improve women's health research?,"[{""content"": ""That\u2019s why we\u2019re launching the first-ever White House Initiative on Women\u2019s Health Research, led by Jill \u2014 doing an incredible job as First Lady \u2014 to pa- \u2014 to pass my plan for $12 billion to transform women\u2019s health research and benefit millions of lives all across America."", ""start_index"": 17726, ""end_index"": 18000}]"
What are the key measures President Biden mentioned to address financial fairness and consumer protection?,"[{""content"": ""My administration has proposed rules to make cable, travel, utilities, and online ticket sellers tell you the total price up front so there are no surprises."", ""start_index"": 27866, ""end_index"": 28023}]"
What are the key benefits highlighted by President Biden regarding the construction of new chip factories in America?,"[{""content"": ""Well, instead of having to import them, instead of \u2014 private companies are now investing billions of dollars to build new chip factories here in America creating tens of thousands of jobs, many of those jobs paying $100,000 a year and don\u2019t require a college degree."", ""start_index"": 10656, ""end_index"": 10922}]"
What specific legal change concerning reproductive rights did the Alabama Supreme Court impose as described in President Biden's speech?,"[{""content"": ""Fourteen months ago \u2014 fourteen months ago, she and her husband welcomed a baby girl thanks to the miracle of IVF. She scheduled treatments to have that second child, but the Alabama Supreme Court shut down IVF treatments across the state, unleashed by a Supreme Court decision overturning Roe v. Wade. She was told her dream would have to wait."", ""start_index"": 4702, ""end_index"": 5046}]"
"What specific reproductive rights issue did Latorya Beasley face in Alabama, and what was the consequence of the Supreme Court's decision?","[{""content"": ""Fourteen months ago \u2014 fourteen months ago, she and her husband welcomed a baby girl thanks to the miracle of IVF. She scheduled treatments to have that second child, but the Alabama Supreme Court shut down IVF treatments across the state, unleashed by a Supreme Court decision overturning Roe v. Wade. She was told her dream would have to wait."", ""start_index"": 4702, ""end_index"": 5046}]"
What financial impacts did President Biden claim would result from his proposed minimum tax for billionaires?,"[{""content"": ""I proposed a minimum tax for billionaires of 25 percent \u2014 just 25 percent. You know what that would raise? That would raise $500 billion over the next 10 years."", ""start_index"": 24942, ""end_index"": 25102}]"
What examples of corporate tax avoidance did President Biden mention in his State of the Union Address?,"[{""content"": ""Remember in 2020, 55 of the biggest companies in America made $40 billion and paid zero in federal income tax. Zero."", ""start_index"": 23819, ""end_index"": 23935}]"
"What specific new office did President Biden establish to address gun violence, and who is leading it?","[{""content"": ""Well, I did do something by establishing the first-ever Office of Gun Violence Prevention in the White House, that the Vice President is leading the charge."", ""start_index"": 37123, ""end_index"": 37279}]"
What measures did President Biden take in response to threats in the Red Sea and how did he address military concerns in the region?,"[{""content"": ""That\u2019s why I built a coalition of more than a dozen countries to defend international shipping and freedom of navigation in the Red Sea."", ""start_index"": 41958, ""end_index"": 42094}, {""content"": ""I\u2019ve ordered strikes to degrade the Houthi capability and defend U.S. forces in the region."", ""start_index"": 42096, ""end_index"": 42187}, {""content"": ""As Commander-in-Chief, I will not hesitate to direct further measures to protect our people and our military personnel."", ""start_index"": 42189, ""end_index"": 42308}]"
What were President Biden's purposes for addressing Congress and the American people during his State of the Union Address?,"[{""content"": ""And, yes, my purpose tonight is to wake up the Congress and alert the American people that this is no ordinary moment either. Not since President Lincoln and the Civil War have freedom and democracy been under assault at home as they are today."", ""start_index"": 664, ""end_index"": 908}]"
What specific technologies and economic practices involving China did President Biden address in his State of the Union speech?,"[{""content"": ""I\u2019ve made sure that the most advanced American technologies can\u2019t be used in China \u2014 not allowing to trade them there."", ""start_index"": 42979, ""end_index"": 43097}, {""content"": ""And we\u2019re standing up against China\u2019s unfair economic practices."", ""start_index"": 42722, ""end_index"": 42786}]"
What does President Biden propose to cap the monthly cost of insulin at for every American who needs it?,"[{""content"": ""And I want to \u2014 and what to do next, I want to cap the cost of insulin at $35 a month for every American who needs it \u2014 everyone."", ""start_index"": 15363, ""end_index"": 15492}]"
What impact did the overturning of Roe v. Wade have on Latorya Beasley according to President Biden's speech?,"[{""content"": ""Fourteen months ago \u2014 fourteen months ago, she and her husband welcomed a baby girl thanks to the miracle of IVF. She scheduled treatments to have that second child, but the Alabama Supreme Court shut down IVF treatments across the state, unleashed by a Supreme Court decision overturning Roe v. Wade. She was told her dream would have to wait."", ""start_index"": 4702, ""end_index"": 5046}]"
What key legislation mentioned by President Biden in his State of the Union address is designed to support veterans exposed to toxins?,"[{""content"": ""That\u2019s why, with the strong support and help of Denis and the VA, I signed the PACT Act \u2014 one of the most significant laws ever, helping millions of veterans exposed to toxins who now are battling more than 100 different cancers."", ""start_index"": 43915, ""end_index"": 44144}]"
"What are the future plans President Biden mentioned for the tax rates of big corporations and billionaires, and how will these affect the federal deficit?","[{""content"": ""It\u2019s my goal to cut the federal deficit another $3 trillion by making big corporations and the very wealthy finally beginning to pay their fair share."", ""start_index"": 22312, ""end_index"": 22462}, {""content"": ""It\u2019s time to raise the corporate minimum tax to at least 21 percent so every big corporation finally begins to pay their fair share."", ""start_index"": 24145, ""end_index"": 24277}, {""content"": ""I proposed a minimum tax for billionaires of 25 percent \u2014 just 25 percent. You know what that would raise? That would raise $500 billion over the next 10 years."", ""start_index"": 24942, ""end_index"": 25102}]"
What specific financial impacts does President Biden claim will result from the actions his administration is taking to eliminate junk fees and reduce credit card late fees?,"[{""content"": ""My administration announced we\u2019re cutting credit card late fees from $32 to $8."", ""start_index"": 27346, ""end_index"": 27425}, {""content"": ""I\u2019m saving American families $20 billion a year with all of the junk fees I\u2019m eliminating."", ""start_index"": 27672, ""end_index"": 27762}]"
What practical steps has President Biden proposed to ensure children learn to read by the third grade?,"[{""content"": ""I want to expand high-quality tutoring and summer learning to see that every child learns to read by third grade."", ""start_index"": 20652, ""end_index"": 20765}]"
What specific acts did President Biden urge Congress to pass to protect voting rights and support diverse American values?,"[{""content"": ""Pass the Freedom to Vote Act, the John Lewis Voting Right(s) Act."", ""start_index"": 33689, ""end_index"": 33754}, {""content"": ""Pass the Equality Act."", ""start_index"": 33959, ""end_index"": 33981}]"
What key elements did President Biden mention are included in the comprehensive immigration bill he introduced?,"[{""content"": ""sor, on my first day in office, I introduced a comprehensive bill to fix our immigration system. Take a look at it. It has all these and more: secure the border, provide a pathway to citizenship for DREAMers, and so much more."", ""start_index"": 31587, ""end_index"": 31813}]"
What specific measures did President Biden propose in his State of the Union Address to make college more affordable?,"[{""content"": ""And I want to make sure that college is more affordable. Let\u2019s continue increasing the Pell Grants to working- and middle-class families and increase record investments in HBCUs and minority-serving institutions, including Hispanic institutions."", ""start_index"": 20925, ""end_index"": 21170}]"
What outcomes have been achieved from elections regarding reproductive freedom according to President Biden?,"[{""content"": ""When reproductive freedom was on the ballot, we won in 2022 and 2023."", ""start_index"": 6948, ""end_index"": 7017}]"
What actions has President Biden urged Congress to take regarding Ukraine during his State of the Union Address?,"[{""content"": ""I say this to Congress: We have to stand up to Putin. Send me a bipartisan national security bill."", ""start_index"": 2591, ""end_index"": 2689}]"
"What improvements occurred in Belvidere, Illinois, as described by President Biden in his State of the Union Address?","[{""content"": ""The great comeback story is Belvidere, Illinois. Home to an auto plant for nearly 60 years. Before I came to office, the plant was on its way to shutting down. Thousands of workers feared for their livelihoods. Hope was fading."", ""start_index"": 12205, ""end_index"": 12432}, {""content"": ""Then, I was elected to office, and we raised Belvidere repeatedly with auto companies, knowing unions would make all the difference. The UAW worked like hell to keep the plant open and get these jobs back. And together, we succeeded."", ""start_index"": 12434, ""end_index"": 12667}, {""content"": ""Instead of auto factories shutting down, auto factories are reopening and a new state-of-the-art battery factory is being built to power those cars there at the same."", ""start_index"": 12669, ""end_index"": 12835}]"
"What specific measures has President Biden described to address issues related to food, healthcare, and housing pricing practices?","[{""content"": ""That\u2019s why we\u2019re cracking down on corporations that engage in price gouging and deceptive pricing, from food to healthcare to housing."", ""start_index"": 26641, ""end_index"": 26775}]"
What did President Biden express as the guiding principles for handling humanitarian aid in relation to Israel and Gaza?,"[{""content"": ""To the leadership of Israel, I say this: Humanitarian assistance cannot be a secondary consideration or a bargaining chip. Protecting and saving innocent lives has to be a priority."", ""start_index"": 41045, ""end_index"": 41226}]"
"What specific veteran-related law did President Biden sign, and what is its significance?","[{""content"": ""That\u2019s why, with the strong support and help of Denis and the VA, I signed the PACT Act \u2014 one of the most significant laws ever, helping millions of veterans exposed to toxins who now are battling more than 100 different cancers."", ""start_index"": 43915, ""end_index"": 44144}]"
What significant gun safety law did President Biden mention signing during his State of the Union Address?,"[{""content"": ""I\u2019m proud we beat the NRA when I signed the most significant gun safety law in nearly 30 years because of this Congress."", ""start_index"": 37643, ""end_index"": 37763}]"
What specific benefits did President Biden discuss related to healthcare under the Affordable Care Act during his State of the Union Address?,"[{""content"": ""Over 100 million of you can no longer be denied health insurance because of a preexisting condition."", ""start_index"": 16996, ""end_index"": 17096}]"
What did President Biden pledge regarding the situation of hostages held by Hamas according to his State of the Union Address?,"[{""content"": ""Here in this chamber tonight are families whose loved ones are still being held by Hamas. I pledge to all the families that we will not rest until we bring every one of your loved ones home."", ""start_index"": 38648, ""end_index"": 38838}]"
What specific measures did President Biden propose in his address to expedite the resolution of immigration cases?,"[{""content"": ""agents and officers, 100 more immigration judges to help tackle the backload of 2 million cases, 4,300 more asylum officers, and new policies so they can resolve cases in six months instead of six years now."", ""start_index"": 28525, ""end_index"": 28732}]"
What specific immigration reforms did President Biden introduce on his first day in office according to his State of the Union Address?,"[{""content"": ""Unlike my predecessor, on my first day in office, I introduced a comprehensive bill to fix our immigration system."", ""start_index"": 31569, ""end_index"": 31683}]"
What specific measures has President Biden outlined for handling the situation with Iran as mentioned in his State of the Union Address?,"[{""content"": ""As Commander-in-Chief, I will not hesitate to direct further measures to protect our people and our military personnel."", ""start_index"": 42189, ""end_index"": 42308}]"
What examples did President Biden use to illustrate the role of the middle class and unions in building America during his State of the Union Address?,"[{""content"": ""Showing once again Wall Street didn\u2019t build America. They\u2019re not bad guys. They didn\u2019t build it, though. The middle class built the country, and unions built the middle class."", ""start_index"": 13525, ""end_index"": 13700}]"
What did President Biden promise to do if Congress that supports reproductive rights is elected?,"[{""content"": ""If you \u2014 if you, the American people, send me a Congress that supports the right to choose, I promise you I will restore Roe v. Wade as the law of the land again."", ""start_index"": 7048, ""end_index"": 7210}]"
What historical voting rights legislation did President Biden refer to in his State of the Union Address that was signed into law five months following Bloody Sunday?,"[{""content"": ""Five months later, the Voting Rights Act passed and was signed into law."", ""start_index"": 33258, ""end_index"": 33330}]"
What specific authority does President Biden propose he and future presidents should have regarding the U.S. border in emergency situations?,"[{""content"": ""d also give me and any new president new emergency authority to temporarily shut down the border when the number of migrants at the border is overwhelming."", ""start_index"": 29010, ""end_index"": 29165}]"
What specific actions has President Biden taken regarding gun violence prevention?,"[{""content"": ""Well, I did do something by establishing the first-ever Office of Gun Violence Prevention in the White House, that the Vice President is leading the charge."", ""start_index"": 37123, ""end_index"": 37279}]"
What did President Biden emphasize about defending democracy and respecting electoral processes in his State of the Union Address?,"[{""content"": ""tood strong and democracy prevailed. We must be honest: The threat to democracy must be defended (defeated)."", ""start_index"": 3676, ""end_index"": 3784}, {""content"": ""Respect \u2014 respect free and fair elections, restore trust in our institutions, and make clear political violence has absolutely no place \u2014 no place in America. Zero place."", ""start_index"": 4229, ""end_index"": 4399}]"
"What are President Biden's stated intentions regarding Social Security and Medicare, as mentioned in his State of the Union Address?","[{""content"": ""If anyone here tries to cut Social Security or Medicare or raise the retirement age, I will stop you."", ""start_index"": 25760, ""end_index"": 25861}]"
What specific legislative actions did President Biden mention in his State of the Union Address aimed at protecting children and veterans?,"[{""content"": ""Pass bipartisan privacy legislation to protect our children online."", ""start_index"": 43580, ""end_index"": 43647}, {""content"": ""That\u2019s why, with the strong support and help of Denis and the VA, I signed the PACT Act \u2014 one of the most significant laws ever, helping millions of veterans exposed to toxins who now are battling more than 100 different cancers."", ""start_index"": 43915, ""end_index"": 44144}]"
